oshwaUid,country,projectName,responsibleParty,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
IT000022,Italy,CM5 MINIMA R3,pierluigi colangeli,Electronics,CERN-OHL-S-2.0,No software,Other,2025-07-02T00:00-04:00,75,16,3,https://certification.oshwa.org/it000022.html
HR000085,Croatia,CO sensor MQ7 breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-09T00:00-04:00,2,1,1,https://certification.oshwa.org/hr000085.html
HR000095,Croatia,CO sensor MQ7 breakout with easyC,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-10T00:00-04:00,1,0,1,https://certification.oshwa.org/hr000095.html
HR000087,Croatia,"CO, flammable gasses sensor MQ9 breakout",SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-10T00:00-04:00,1,0,1,https://certification.oshwa.org/hr000087.html
HR000097,Croatia,"CO, flammable gasses sensor MQ9 breakout with easyC",SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-10T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000097.html
ES000019,Spain,CO2 Detector,Guillermo Amat Gomariz,IOT,CERN,Apache,CC 0,2021-01-08T00:00-05:00,9,6,1,https://certification.oshwa.org/es000019.html
US002219,United States of America,CO₂ Humidity and Temperature Sensor - SCD40 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-21T00:00-04:00,0,0,2,https://certification.oshwa.org/us002219.html
US002222,United States of America,CO₂ Humidity and Temperature Sensor - SCD41 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-21T00:00-04:00,0,0,2,https://certification.oshwa.org/us002222.html
US002229,United States of America,CO₂ Sensor - STC31 (Qwiic),SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2023-05-21T00:00-04:00,0,0,2,https://certification.oshwa.org/us002229.html
HR000015,Croatia,Color and gesture sensor APDS-9960 breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-03T00:00-05:00,1,1,1,https://certification.oshwa.org/hr000015.html
US002117,United States of America,Color Spray,Cooper Dalrymple,Electronics,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,2022-06-03T00:00-04:00,0,0,1,https://certification.oshwa.org/us002117.html
SG000009,Singapore,Compact CH340 USB-C USB-UART bridge,Weihao Liu,Electronics,CERN-OHL-P-2.0,No software,CERN-OHL-P-2.0,2026-01-15T00:00-05:00,0,0,0,https://certification.oshwa.org/sg000009.html
US000129,United States of America,Concrete Business Card Holder,Voidbox Industries,Arts,Other,No software,CC BY-SA,2018-06-03T00:00-04:00,2,0,1,https://certification.oshwa.org/us000129.html
US000728,United States of America,Configurable RC Filter,SparkFun Electronics,Electronics,CERN,MIT,CC BY-SA,2020-11-30T00:00-05:00,0,0,1,https://certification.oshwa.org/us000728.html
HR000052,Croatia,CONNECT programmer,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,6,0,1,https://certification.oshwa.org/hr000052.html
US002435,United States of America,Contact-less Infrared Thermopile Sensor Breakout - TMP007,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-05T00:00-04:00,2,0,10,https://certification.oshwa.org/us002435.html
US002771,United States of America,Contactless Bicycle Dynamo and Light,William Kennedy,Tool,CERN-OHL-W-2.0,No software,CERN-OHL-W-2.0,2025-08-28T00:00-04:00,4,1,0,https://certification.oshwa.org/us002771.html
TW000003,Taiwan,Continuous Non-Invasive Blood Pressure Research Platform: ECG+PPG Pulse Arrival Time Based,TonyGuo,Science,Other,MIT,Other,2020-07-13T00:00-04:00,67,23,7,https://certification.oshwa.org/tw000003.html
ES000055,Spain,Controlador de Soldador Intelixente,xdesig,Electronics,CERN,CERN-OHL-P-2.0,CERN-OHL-P-2.0,2025-11-26T00:00-05:00,0,0,0,https://certification.oshwa.org/es000055.html
US002540,United States of America,Conway's Game of Life Kit - v1.3,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-10-06T00:00-04:00,23,6,11,https://certification.oshwa.org/us002540.html
DE000154,Germany,COSI Measure,Open Source Imaging Initiative e.V.,Robotics,CERN-OHL-W-2.0,No software,CERN-OHL-W-2.0,2025-06-20T00:00-04:00,30,8,6,https://certification.oshwa.org/de000154.html
ES000030,Spain,Counter Bytes,Making Devices,Electronics,CERN-OHL-S-2.0,GPL,CC-BY-SA-4.0,2022-08-25T00:00-04:00,4,0,1,https://certification.oshwa.org/es000030.html
CN000005,China,CR-10 3D PRinter,"Shenzhen Creality 3D Co., Ltd",3D Printing,Other,GPL,CC BY-SA,2019-01-02T00:00-05:00,179,58,22,https://certification.oshwa.org/cn000005.html
CN000004,China,CR10 Melzi Motherboard,"Shenzhen Creality 3D Co., Ltd",3D Printing,Other,GPL,CC BY-SA,2019-01-02T00:00-05:00,33,14,4,https://certification.oshwa.org/cn000004.html
DE000016,Germany,Craftalight,Staudt Technologies GmbH,Wearables,CERN,GPL,Other,2020-03-17T00:00-04:00,2,0,2,https://certification.oshwa.org/de000016.html
DE000132,Germany,CraftBeerPi Hat,Till Klocke,Electronics,CERN-OHL-S-2.0,No software,CERN-OHL-S-2.0,2023-01-18T00:00-05:00,9,3,2,https://certification.oshwa.org/de000132.html
KR000001,South Korea,Creatable D3,"ATEAM VENTURES CO., LTD.",3D Printing,Other,GPL,Other,2019-07-30T00:00-04:00,24,3,5,https://certification.oshwa.org/kr000001.html
US000235,United States of America,Creator Transfer Chamber,"Creator, Inc.",Manufacturing,CERN,No software,CC BY,,14,0,7,https://certification.oshwa.org/us000235.html
CN000013,China,CrowVision,elecrow,Electronics,CERN-OHL-S-2.0,No software,Other,2023-05-23T00:00-04:00,6,0,2,https://certification.oshwa.org/cn000013.html
US002459,United States of America,Cupcade V1 Adapter PCB + Parts Pack,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,2,0,5,https://certification.oshwa.org/us002459.html
UK000033,United Kingdom,cuplTag,Plotsensor Ltd.,Electronics,CERN-OHL-S-2.0,GPL,CC BY-SA,2021-10-07T00:00-04:00,15,6,2,https://certification.oshwa.org/uk000033.html
JP000005,Japan,CutiePi board,Penk Chen,Electronics,Other,No software,CC BY-SA,2019-10-12T00:00-04:00,452,58,30,https://certification.oshwa.org/jp000005.html
US000141,United States of America,cyborg ring,Zach Fredin,Wearables,Other,Other,CC BY-SA,2018-10-07T00:00-04:00,39,3,3,https://certification.oshwa.org/us000141.html
US002433,United States of America,CYOCrawler,Duy Phuong Nguyen,Robotics,CERN-OHL-S-2.0,GPL,CC BY-SA,2023-09-05T00:00-04:00,36,6,2,https://certification.oshwa.org/us002433.html
US000078,United States of America,Cyton,"OpenBCI, Inc",Electronics,Other,Other,CC BY-SA,2017-09-15T00:00-04:00,193,119,24,https://certification.oshwa.org/us000078.html
IE000002,Ireland,D1 Mini TFT Shield,Brian Lough,Electronics,CERN,MIT,CC BY-SA,2020-11-17T00:00-05:00,6,1,2,https://certification.oshwa.org/ie000002.html
HR000043,Croatia,DAC 6-bit 1-channel MCP47A1 breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,0,0,1,https://certification.oshwa.org/hr000043.html
US000136,United States of America,Daffodil,Great Scott Gadgets,Tool,Other,No software,Other,2018-09-17T00:00-04:00,120,24,27,https://certification.oshwa.org/us000136.html
US000079,United States of America,Daisy Module,"OpenBCI, Inc",Electronics,Other,Other,CC BY-SA,2017-09-15T00:00-04:00,193,119,24,https://certification.oshwa.org/us000079.html
MX000020,Mexico,DAP-Cat-Programmer,ELECTRONIC CATS SAPI DE CV mail,Electronics,CERN,LGPL,CC BY-SA,2020-09-19T00:00-04:00,95,28,9,https://certification.oshwa.org/mx000020.html
FR000022,France,daq0rick,Luc Jonveaux,Electronics,TAPR,GPL-3.0-or-later,CC BY-SA,2024-10-11T00:00-04:00,1,0,1,https://certification.oshwa.org/fr000022.html
HR000038,Croatia,Dasduino CONNECT,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,0,0,1,https://certification.oshwa.org/hr000038.html
HR000037,Croatia,Dasduino CONNECTPLUS,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,2,0,1,https://certification.oshwa.org/hr000037.html
HR000039,Croatia,Dasduino CORE,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-09T00:00-05:00,2,0,1,https://certification.oshwa.org/hr000039.html
PL000017,Poland,Dasharo TPM 2.0 for PC Engines APU2,3mdeb Sp. z o.o.,Electronics,CERN,No software,CC BY-SA,2024-04-19T00:00-04:00,1,0,5,https://certification.oshwa.org/pl000017.html
HR000007,Croatia,DCM224 Power Module,Envox d.o.o.,Electronics,TAPR,GPL,CC BY-SA,2021-04-19T00:00-04:00,7,4,2,https://certification.oshwa.org/hr000007.html
US002134,United States of America,DCZia 30-in-One Badge,DCZia,Electronics,Other,Other,Other,2022-11-08T00:00-05:00,10,0,7,https://certification.oshwa.org/us002134.html
US002378,United States of America,Decent XE keyboard,Bertrand,Electronics,Other,MIT,Other,2023-07-17T00:00-04:00,62,6,12,https://certification.oshwa.org/us002378.html
CH000021,Switzerland,"Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",Global Health Engineering,Environmental,CC-BY-4.0,No software,CC-BY-4.0,2024-04-05T00:00-04:00,1,0,1,https://certification.oshwa.org/ch000021.html
DE000149,Germany,DeskHop,Hrvoje Cavrak,Electronics,GPL-3.0-only,GPL-3.0-only,GPL-3.0-only,2024-11-25T00:00-05:00,7399,253,53,https://certification.oshwa.org/de000149.html
BR000011,Brazil,Development board with reconfigurable logic,Paulo Vinicius da Silva Meira,Electronics,CC-BY-SA-4.0,No software,CC-BY-SA-4.0,2022-11-21T00:00-05:00,1,0,1,https://certification.oshwa.org/br000011.html
GR000006,Greece,Dianome,Ioannis Chatzikonstantinou,Electronics,CERN-OHL-W-2.0,CERN-OHL-W-2.0,CERN-OHL-W-2.0,2022-12-21T00:00-05:00,10,3,1,https://certification.oshwa.org/gr000006.html
US002786,United States of America,Differential Destroyer (MHV DC33 Badge),Maritime Hacking Village,Wearables,CERN-OHL-W-2.0,Apache,CERN-OHL-W-2.0,2025-10-24T00:00-04:00,9,0,0,https://certification.oshwa.org/us002786.html
HR000060,Croatia,Digipot 100k MCP4018 breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000060.html
HR000079,Croatia,Digipot 10k MCP4018 breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,GPL,CC BY-SA,2023-06-09T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000079.html
HR000059,Croatia,Digipot 50k MCP4018 breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000059.html
HR000058,Croatia,Digipot 5k MCP4018 breakout,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,0,0,1,https://certification.oshwa.org/hr000058.html
GT000014,Guatemala,DIoTCAM,Alfredo Mazariegos,IOT,CERN-OHL-P-2.0,GPL-3.0-or-later,CC BY,2023-06-22T00:00-04:00,1,1,1,https://certification.oshwa.org/gt000014.html
CA000035,Canada,Dips on a Stick,Joshua Murphy,Electronics,CC-BY-SA-4.0,No software,CC-BY-SA-4.0,2023-11-09T00:00-05:00,0,0,1,https://certification.oshwa.org/ca000035.html
SE000028,Sweden,Dis thermometer,Ping Hobbyelektronik,Electronics,CERN-OHL-P-2.0,CERN-OHL-P-2.0,CERN-OHL-P-2.0,2024-12-13T00:00-05:00,0,0,1,https://certification.oshwa.org/se000028.html
HR000062,Croatia,"Display OLED I2C Blue 0.96"" SSD1306",SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,2,0,1,https://certification.oshwa.org/hr000062.html
HR000061,Croatia,"Display OLED I2C White 0.96"" SSD1306",SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-17T00:00-04:00,2,0,1,https://certification.oshwa.org/hr000061.html
IN000075,India,DIY Smart Air Purifier,"Gulshan Kumar, Deepanshu Verma, Prasannaa Kumar D",Environmental,CERN-OHL-S-2.0,CC-BY-4.0,CERN-OHL-S-2.0,2025-09-12T00:00-04:00,6,0,0,https://certification.oshwa.org/in000075.html
IT000003,Italy,DomoDisp,Diego Zuccato,IOT,CERN,MIT,Other,2018-01-08T00:00-04:00,5,0,2,https://certification.oshwa.org/it000003.html
IT000001,Italy,DomoNode,Diego Zuccato,IOT,CERN,MIT,Other,2017-12-12T00:00-04:00,5,0,2,https://certification.oshwa.org/it000001.html
IT000002,Italy,DomoNode-inout,Diego Zuccato,IOT,CERN,MIT,Other,2018-01-03T00:00-04:00,5,0,2,https://certification.oshwa.org/it000002.html
US000097,United States of America,Double Hammock,"Hummingbird Hammocks, LLC",Other,Other,No software,CC BY-SA,2018-01-25T00:00-04:00,45,7,4,https://certification.oshwa.org/us000097.html
DE000091,Germany,Double-Oh,Space Buck,Electronics,CERN,Other,CC BY,2020-09-25T00:00-04:00,35,3,5,https://certification.oshwa.org/de000091.html
NL000018,Netherlands,Dreamcast RPT,Terin Stock,Electronics,CERN-OHL-W-2.0,No software,CERN-OHL-W-2.0,2024-03-20T00:00-04:00,9,0,1,https://certification.oshwa.org/nl000018.html
IN000077,India,DriveChair,Pranit Singh Sanwalka,Other,CERN-OHL-S-2.0,No software,CC-BY-4.0,2025-10-13T00:00-04:00,1,0,0,https://certification.oshwa.org/in000077.html
US002701,United States of America,DropGen,Harris Lab,Science,CC-BY-SA-4.0,CC-BY-SA-4.0,CC-BY-SA-4.0,2024-11-21T00:00-05:00,5,0,0,https://certification.oshwa.org/us002701.html
US002623,United States of America,DSS-SSR4E,Desert Shed Studio,Electronics,CERN-OHL-S-2.0,No software,CERN-OHL-S-2.0,2024-04-19T00:00-04:00,1,0,1,https://certification.oshwa.org/us002623.html
US002756,United States of America,DST Analog In,"Xenoform Labs, LLC",Electronics,CERN-OHL-P-2.0,No software,CERN-OHL-P-2.0,2025-07-10T00:00-04:00,0,0,0,https://certification.oshwa.org/us002756.html
ES000014,Spain,DynOSSAT-EDU,"Blackhand Dynamics, SL",Electronics,CERN,MIT,CC BY-SA,2020-11-19T00:00-05:00,13,4,3,https://certification.oshwa.org/es000014.html
NO000001,Norway,DyRET - Dynamic Robot for Embodied Testing,University of Oslo,Robotics,Other,GPL,CC BY-SA,2018-06-19T00:00-04:00,8,1,2,https://certification.oshwa.org/no000001.html
BR000010,Brazil,E-TKT: anachronic label maker,Andrei Speridião,Tool,Other,MIT,Other,2022-06-23T00:00-04:00,454,20,14,https://certification.oshwa.org/br000010.html
HR000025,Croatia,easyC adapter,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-03T00:00-05:00,0,0,1,https://certification.oshwa.org/hr000025.html
HR000028,Croatia,easyC Hub,SOLDERED ELECTRONICS LTD.,Electronics,TAPR,No software,CC BY-SA,2023-03-03T00:00-05:00,0,0,1,https://certification.oshwa.org/hr000028.html
US000052,United States of America,EasyDriver - Stepper Motor Driver,SparkFun Electronics,Electronics,Other,Other,CC BY-SA,2016-10-31T00:00-04:00,30,15,50,https://certification.oshwa.org/us000052.html
US000069,United States of America,EC_Salinity Probe Interface,uFire,Environmental,Other,MIT,Other,2017-07-17T00:00-04:00,30,15,50,https://certification.oshwa.org/us000069.html
BE000003,Belgium,ECG Patient Simulator,Johan Smets,Electronics,CERN,GPL,CC BY-SA,2021-01-04T00:00-05:00,2,1,1,https://certification.oshwa.org/be000003.html
ES000010,Spain,Echidna Black,XDeSIG,Education,CERN,No software,CC BY-SA,2020-06-05T00:00-04:00,9,3,2,https://certification.oshwa.org/es000010.html
ES000007,Spain,EchidnaShield,xdesig@gmail.com,Education,Other,No software,CC BY-SA,2019-09-15T00:00-04:00,9,3,2,https://certification.oshwa.org/es000007.html
BE000014,Belgium,EDGAR,Phyx,Electronics,Other,No software,Other,2023-09-18T00:00-04:00,2,0,2,https://certification.oshwa.org/be000014.html
BE000020,Belgium,Edgeberry,Edgeberry,IOT,CERN-OHL-W-2.0,GPL,GPL,2025-03-14T00:00-04:00,2,0,2,https://certification.oshwa.org/be000020.html
GT000003,Guatemala,EDIN Educación inclusiva a distancia,flatbox,IOT,CERN,MIT,CC BY-SA,2020-10-22T00:00-04:00,1,0,1,https://certification.oshwa.org/gt000003.html
HR000002,Croatia,EEZ Bench Box 3,Envox d.o.o.,Electronics,TAPR,GPL,CC BY-SA,2019-12-24T00:00-05:00,358,108,44,https://certification.oshwa.org/hr000002.html
HR000120,Croatia,EEZ DCP405+,Envox d.o.o.,Electronics,TAPR,GPL-3.0-or-later,CC BY-SA,2026-01-07T00:00-05:00,7,1,1,https://certification.oshwa.org/hr000120.html
HR000001,Croatia,EEZ H24005,Envox d.o.o.,Electronics,TAPR,GPL,CC BY-SA,2019-09-23T00:00-04:00,478,122,85,https://certification.oshwa.org/hr000001.html
HR000010,Croatia,EEZ MUX14D dual 2-wire 7:1 (14:1) Multiplexer,Envox d.o.o.,Electronics,TAPR,GPL,CC BY-SA,2021-10-07T00:00-04:00,1,4,2,https://certification.oshwa.org/hr000010.html
HR000005,Croatia,EEZ PREL6 power relays module,Envox d.o.o.,Electronics,TAPR,GPL,CC BY-SA,2020-10-22T00:00-04:00,6,6,2,https://certification.oshwa.org/hr000005.html
HR000004,Croatia,EEZ SMX46 switch matrix module,Envox d.o.o.,Electronics,TAPR,GPL,CC BY-SA,2020-10-22T00:00-04:00,9,5,2,https://certification.oshwa.org/hr000004.html
RU000004,Russia,EFEKTA AIR QUALITY SENSOR,Andrey Lamchenko,IOT,CERN,GPL,CC BY,2021-06-07T00:00-04:00,112,10,8,https://certification.oshwa.org/ru000004.html
RU000002,Russia,EFEKTA TH102,Andrey Lamchenko,IOT,CERN,GPL,CC BY,2020-11-06T00:00-05:00,53,9,3,https://certification.oshwa.org/ru000002.html
US000568,United States of America,Electret Microphone Amplifier - MAX4466 with Adjustable Gain,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,12,9,12,https://certification.oshwa.org/us000568.html
LK000017,Sri Lanka,Electronic Limit Switch,Dilshan R Jayakody,Agriculture,CERN-OHL-W-2.0,MIT,CC-BY-4.0,2025-07-17T00:00-04:00,1,0,0,https://certification.oshwa.org/lk000017.html
CN000010,China,ELEGOO Mars3 3D Printer,"Shenzhen ELEGOO Technology Co.,Ltd",3D Printing,Other,GPL,Other,2021-10-08T00:00-04:00,40,13,8,https://certification.oshwa.org/cn000010.html
BD000002,Bangladesh,Emergency Ventilator,Durbar Kandari and Wasif Ahmed,IOT,CERN-OHL-P-2.0,GPL-3.0-or-later,CC-BY-4.0,2022-02-04T00:00-05:00,0,0,1,https://certification.oshwa.org/bd000002.html
CN000003,China,Ender 3,"Shenzhen Creality 3D Technology Co., Ltd",3D Printing,Other,GPL,Other,2018-06-30T00:00-04:00,1926,668,211,https://certification.oshwa.org/cn000003.html
IT000025,Italy,EnergyMe - Home,Jibril Sharafi,IOT,CERN-OHL-P-2.0,GPL-3.0-or-later,GPL-3.0-or-later,2025-10-24T00:00-04:00,209,26,4,https://certification.oshwa.org/it000025.html
SE000021,Sweden,Epi 32U4,Rasmus Liljeberg,Electronics,CERN-OHL-P-2.0,GPL,CERN-OHL-P-2.0,2022-12-21T00:00-05:00,22,1,1,https://certification.oshwa.org/se000021.html
US002119,United States of America,Ergo S-1 Open Edition,Wizard Keyboards,3D Printing,CERN-OHL-S-2.0,MIT,CC BY,2022-06-10T00:00-04:00,368,29,11,https://certification.oshwa.org/us002119.html
ES000011,Spain,Escorna CPU,xdesig,Education,CERN,GPL,CC BY-SA,2020-06-05T00:00-04:00,0,1,1,https://certification.oshwa.org/es000011.html
MX000009,Mexico,Escornabot Makech,ELECTRONIC CATS SAPI DE CV,Robotics,CERN,GPL,CC BY-SA,2019-04-21T00:00-04:00,1,1,4,https://certification.oshwa.org/mx000009.html
ES000006,Spain,Escornabot_CPU,XDeSIG,Education,Other,Other,CC BY-SA,2019-08-09T00:00-04:00,0,1,1,https://certification.oshwa.org/es000006.html
ES000024,Spain,EscornabotFicha,XDeSIG,Education,CERN-OHL-S-2.0,Other,Other,2021-08-19T00:00-04:00,0,1,1,https://certification.oshwa.org/es000024.html
US002057,United States of America,ESP Line Follower,Azoteca Software LLC,Education,CERN,MIT,CC BY-SA,2021-10-15T00:00-04:00,3,0,0,https://certification.oshwa.org/us002057.html
NL000014,Netherlands,ESP TouchDown S3,Dustin Watts,Electronics,GPL-3.0-or-later,MIT,GPL-3.0-or-later,2023-04-18T00:00-04:00,3,0,0,https://certification.oshwa.org/nl000014.html
GT000016,Guatemala,ESP32 DevKit,Tesla Lab,IOT,CERN-OHL-1.2,GPL-3.0-or-later,CC-BY-SA-4.0,2023-08-22T00:00-04:00,0,0,1,https://certification.oshwa.org/gt000016.html
IE000004,Ireland,ESP32 Trinity,Brian Lough,Electronics,CERN-OHL-1.2,MIT,CC BY-SA,2021-10-07T00:00-04:00,364,44,21,https://certification.oshwa.org/ie000004.html
IN000028,India,esp32 wifi ble weighing scale,IoTReady Technology Solutions Pvt Ltd,IOT,CERN,MIT,CC BY,2021-06-17T00:00-04:00,5,4,2,https://certification.oshwa.org/in000028.html
BG000011,Bulgaria,ESP32-EVB,OLIMEX Ltd,IOT,Other,No software,Other,2018-09-11T00:00-04:00,274,109,31,https://certification.oshwa.org/bg000011.html
BG000012,Bulgaria,ESP32-GATEWAY,OLIMEX Ltd,IOT,Other,No software,Other,2018-09-11T00:00-04:00,300,114,26,https://certification.oshwa.org/bg000012.html
BG000010,Bulgaria,ESP32-PRO,OLIMEX Ltd,IOT,Other,No software,Other,2018-09-11T00:00-04:00,51,13,16,https://certification.oshwa.org/bg000010.html
SE000024,Sweden,ESP32-S3 Stamp,Ping Hobbyelektronik,Electronics,CERN-OHL-P-2.0,No software,CERN-OHL-P-2.0,2024-10-01T00:00-04:00,3,1,1,https://certification.oshwa.org/se000024.html
DE000152,Germany,esp32stepper,Stefan Herold,Electronics,CERN-OHL-S-2.0,No software,CERN-OHL-S-2.0,2025-04-11T00:00-04:00,1,0,1,https://certification.oshwa.org/de000152.html
US000094,United States of America,ESP8266 Button,"Google, LLC",Electronics,Other,Other,CC BY-SA,2018-01-21T00:00-04:00,17,7,9,https://certification.oshwa.org/us000094.html
BG000015,Bulgaria,ESP8266-EVB,OLIMEX Ltd,IOT,Other,No software,Other,2018-09-15T00:00-04:00,290,122,68,https://certification.oshwa.org/bg000015.html
BG000016,Bulgaria,ESP8266-EVB-BAT,OLIMEX Ltd,IOT,Other,No software,Other,2018-09-15T00:00-04:00,290,122,68,https://certification.oshwa.org/bg000016.html
DE000166,Germany,Esperdyne,Ravi Umadi,Science,CERN-OHL-S-2.0,GPL-3.0-only,CC-BY-SA-4.0,2026-01-28T00:00-05:00,0,0,0,https://certification.oshwa.org/de000166.html
MX000038,Mexico,ESPiezometer – Open Hardware ESP32-C3 Device for Field Installation and Validation of RS485 Piezometric Sensors,Armando Daniel Blanco Jáquez,Environmental,CERN-OHL-W-2.0,GPL-3.0-only,CC-BY-4.0,2025-10-24T00:00-04:00,0,0,1,https://certification.oshwa.org/mx000038.html
DE000143,Germany,ESPnP,Wirmo Inh. Moritz Wirger,Electronics,GPL-3.0-only,No software,GPL-3.0-only,2024-02-02T00:00-05:00,0,0,0,https://certification.oshwa.org/de000143.html
CA000009,Canada,Espoir,Connaxio inc.,Electronics,CERN-OHL-W-2.0,No software,CERN-OHL-W-2.0,2022-05-06T00:00-04:00,53,13,5,https://certification.oshwa.org/ca000009.html
CA000011,Canada,Espoir Validation mikroShield,Connaxio inc.,Electronics,CERN-OHL-W-2.0,CERN-OHL-W-2.0,CERN-OHL-W-2.0,2022-05-06T00:00-04:00,0,0,0,https://certification.oshwa.org/ca000011.html
UK000010,United Kingdom,ESPositoRuler,Jacopo Franco,IOT,CERN,No software,CC BY-SA,2020-06-09T00:00-04:00,1,1,1,https://certification.oshwa.org/uk000010.html
ID000001,Indonesia,ESPTINY86 Stompbox,Center for Alternative Coconut Research,Sound,Other,No software,Other,2018-08-17T00:00-04:00,3,1,1,https://certification.oshwa.org/id000001.html
JP000002,Japan,ESXAR,OPENFORCE,Electronics,Other,Other,Other,2016-11-01T00:00-04:00,0,0,2,https://certification.oshwa.org/jp000002.html
CZ000004,Czech Republic,ETH IO,Pavel Sláma,Electronics,CERN,MIT,CC BY-SA,2021-06-03T00:00-04:00,67,18,11,https://certification.oshwa.org/cz000004.html
LK000009,Sri Lanka,Ethernet base NTP clock panel driver,Dilshan R Jayakody,IOT,Other,MIT,CC BY,2021-05-12T00:00-04:00,10,0,2,https://certification.oshwa.org/lk000009.html
NO000004,Norway,ethernet4pizero,Lightside Instruments AS,Electronics,TAPR,No software,Other,2023-06-30T00:00-04:00,1,1,1,https://certification.oshwa.org/no000004.html
UK000002,United Kingdom,Europi,Audio Morphology,Sound,Other,Other,Other,2016-10-20T00:00-04:00,99,9,13,https://certification.oshwa.org/uk000002.html
UK000048,United Kingdom,EuroPi,Allen Synthesis,Electronics,CERN-OHL-S-2.0,Apache,CC 0,2023-08-22T00:00-04:00,529,102,23,https://certification.oshwa.org/uk000048.html
FR000002,France,Eurorack modules,Mutable Instruments,Sound,Other,GPL,Other,2016-11-28T00:00-04:00,2902,808,282,https://certification.oshwa.org/fr000002.html
DE000135,Germany,eurorack-pmod,Sebastian Holzapfel,Sound,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,2023-03-22T00:00-04:00,227,16,8,https://certification.oshwa.org/de000135.html
US002532,United States of America,Evezor canbus feather wing,Evezor Inc,Electronics,CERN,Apache,CERN-OHL-P-2.0,2023-09-19T00:00-04:00,0,0,1,https://certification.oshwa.org/us002532.html
US002531,United States of America,Evezor Stamp STMF405,Evezor Inc,Electronics,CERN,Apache,CERN-OHL-P-2.0,2023-09-19T00:00-04:00,0,0,1,https://certification.oshwa.org/us002531.html
BE000017,Belgium,Fablab Bot,Phyx,Electronics,CC0-1.0,No software,CC0-1.0,2023-10-23T00:00-04:00,0,0,2,https://certification.oshwa.org/be000017.html
US002599,United States of America,FanPico,Timo Kokkonen,Electronics,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,2024-01-22T00:00-05:00,204,15,6,https://certification.oshwa.org/us002599.html
US000639,United States of America,FeatherWing Doubler - Prototyping Add-on For All Feather Boards,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-05-28T00:00-04:00,15,6,8,https://certification.oshwa.org/us000639.html
US000488,United States of America,FeatherWing Proto - Prototyping Add-on For All Feather Boards,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,15,6,8,https://certification.oshwa.org/us000488.html
US000485,United States of America,FeatherWing Tripler Mini Kit - Prototyping Add-on For Feathers,"Adafruit Industries, LLC",Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,15,6,8,https://certification.oshwa.org/us000485.html
